Doc_ID,Entity_ID,Country,Year,Document_Name,Page,Block_ID,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category,modified_entity_name,finalized_entity_name,Label
0,127,CAN,2022,Canada's National Quantum Strategy,30,1,pillar RESEARCH PILLAR Research,ORG,not specified,not specified,not an actor,False,pillar RESEARCH PILLAR Research,pillar RESEARCH PILLAR Research
0,128,CAN,2022,Canada's National Quantum Strategy,30,2,Canada Excellence Research Chairs Program,ORG,not an actor,not an actor,Program; not an actor,False,Canada Excellence Research Chairs Program,Canada Excellence Research Chairs Program
0,129,CAN,2022,Canada's National Quantum Strategy,30,2,CERC,ORG,not an actor,not an actor,Program; not an actor,False,CERC,CERC
0,130,CAN,2022,Canada's National Quantum Strategy,30,3,New Frontiers in Research Fund,ORG,not an actor,not an actor,Fund; not an actor,False,New Frontiers in Research Fund,New Frontiers in Research Fund
0,131,CAN,2022,Canada's National Quantum Strategy,30,3,NFRF,ORG,not an actor,not an actor,Fund; not an actor,False,NFRF,NFRF
0,132,CAN,2022,Canada's National Quantum Strategy,31,1,NSERC-National Science Foundation,ORG,Government,Funding Agencies,International Partnership,True,National Science Foundation,National Science Foundation
0,133,CAN,2022,Canada's National Quantum Strategy,31,1,NSF,ORG,Government,Funding Agencies,International Partnership,False,NSF,NSF
0,134,CAN,2022,Canada's National Quantum Strategy,31,2,Innovation for Defence Excellence and Security,ORG,not an actor,not an actor,Program; not an actor,False,Innovation for Defence Excellence and Security,Innovation for Defence Excellence and Security
0,135,CAN,2022,Canada's National Quantum Strategy,31,2,IDEaS,ORG,not an actor,not an actor,Program; not an actor,False,IDEaS,IDEaS
0,136,CAN,2022,Canada's National Quantum Strategy,31,2,Defence Research and Development Canada,ORG,Government,Federal Research Organization,Federal Research Agency,False,Defence Research and Development Canada,Defence Research and Development Canada
0,137,CAN,2022,Canada's National Quantum Strategy,31,2,DRDC,ORG,Government,Federal Research Organization,Federal Research Agency,False,DRDC,DRDC
0,138,CAN,2022,Canada's National Quantum Strategy,31,2,Innovation Fund – Canada Foundation for Innovation,ORG,Government,Funding Agencies,Funding,True,Canada Foundation for Innovation,Canada Foundation for Innovation
0,139,CAN,2022,Canada's National Quantum Strategy,31,3,Federal department,ORG,not specified,not specified,not specified,False,Federal department,Federal department
0,140,CAN,2022,Canada's National Quantum Strategy,31,4,John R. Evans Leaders Fund,ORG,not an actor,not an actor,Fund,False,John R. Evans Leaders Fund,John R. Evans Leaders Fund
0,141,CAN,2022,Canada's National Quantum Strategy,31,5,CIIP,ORG,not an actor,not an actor,Program,False,CIIP,CIIP
0,142,CAN,2022,Canada's National Quantum Strategy,31,6,TALENT PILLAR Talent,ORG,not specified,not specified,not specified,False,TALENT PILLAR Talent,TALENT PILLAR Talent
0,143,CAN,2022,Canada's National Quantum Strategy,32,1,Global Talent Stream – Employment and Social Development Canada,ORG,Government,Policy Makers,Federal Department,True,Employment and Social Development Canada,Employment and Social Development Canada
0,144,CAN,2022,Canada's National Quantum Strategy,32,1,ESDC,ORG,Government,Policy Makers,Federal Department,False,ESDC,ESDC
0,145,CAN,2022,Canada's National Quantum Strategy,32,1,Public Service Commission of Canada,ORG,Government,Government Support Services,Federal Agency,False,Public Service Commission of Canada,Public Service Commission of Canada
0,146,CAN,2022,Canada's National Quantum Strategy,32,2,PTs,ORG,not an actor,not an actor,not an actor,False,PTs,PTs
0,147,CAN,2022,Canada's National Quantum Strategy,32,3,Prairies Economic Development Canada,ORG,Government,Funding Agencies,Federal Agency,False,Prairies Economic Development Canada,Prairies Economic Development Canada
0,148,CAN,2022,Canada's National Quantum Strategy,32,3,Pacific Economic Development Canada,ORG,Government,Funding Agencies,Federal Agency,False,Pacific Economic Development Canada,Pacific Economic Development Canada
0,149,CAN,2022,Canada's National Quantum Strategy,32,3,ITB,ORG,not an actor,not an actor,Policy Framework; not an actor,False,ITB,ITB
0,150,CAN,2022,Canada's National Quantum Strategy,32,3,ITB Policy,ORG,not an actor,not an actor,Policy Framework; not an actor,False,ITB Policy,ITB Policy
0,151,CAN,2022,Canada's National Quantum Strategy,32,3,Canadian Coast Guard,ORG,Government,Government Support Services,Federal Agency,False,Canadian Coast Guard,Canadian Coast Guard
0,152,CAN,2022,Canada's National Quantum Strategy,33,2,Canada Trade Commissioner Service – Global Affairs Canada,ORG,Government,Policy Makers,Federal Department; Ministry,True,Global Affairs Canada,Global Affairs Canada
0,153,CAN,2022,Canada's National Quantum Strategy,33,2,Trade Commissioner Service,ORG,Government,Government Support Services,Federal Agency,False,Trade Commissioner Service,Trade Commissioner Service
0,154,CAN,2022,Canada's National Quantum Strategy,33,2,Regional Business Network,ORG,not specified,not specified,not specified,False,Regional Business Network,Regional Business Network
0,155,CAN,2022,Canada's National Quantum Strategy,33,3,Space Technology Development Program,ORG,not an actor,not an actor,Program; not an actor,False,Space Technology Development Program,Space Technology Development Program
0,156,CAN,2022,Canada's National Quantum Strategy,33,3,STDP,ORG,not an actor,not an actor,Program; not an actor,False,STDP,STDP
0,157,CAN,2022,Canada's National Quantum Strategy,33,3,CSA,ORG,Government,Policy Makers,Space Agency,False,CSA,CSA
0,158,CAN,2022,Canada's National Quantum Strategy,33,3,Deep Tech Venture Fund – Business Development Bank of Canada,ORG,Government,Bank,Corporate VC; Funding,True,Business Development Bank of Canada,Business Development Bank of Canada

