Doc_ID,Sentence_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
1,319,CAN,2022,Canada's National Quantum Strategy,BDC,ORG,,,
1,319,CAN,2022,Canada's National Quantum Strategy,Xanadu,ORG,,,
1,32,CAN,2022,Canada's National Quantum Strategy,Xanadu,ORG,,,
1,32,CAN,2022,Canada's National Quantum Strategy,PennyLane,ORG,,,
1,320,CAN,2022,Canada's National Quantum Strategy,BDC,ORG,,,
1,321,CAN,2022,Canada's National Quantum Strategy,D-Wave,ORG,,,
1,321,CAN,2022,Canada's National Quantum Strategy,BDC,ORG,,,
1,322,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,323,CAN,2022,Canada's National Quantum Strategy,DND,ORG,,,
1,324,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,325,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,327,CAN,2022,Canada's National Quantum Strategy,SIF,ORG,,,
1,327,CAN,2022,Canada's National Quantum Strategy,BDC Deep Tech Venture Fund,ORG,,,
1,33,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,330,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,331,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,331,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,331,CAN,2022,Canada's National Quantum Strategy,NRC,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,REGI,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,PrairiesCan,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,CED,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,FedDev Ontario,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,Regional Economic Growth through Innovation,ORG,,,
1,332,CAN,2022,Canada's National Quantum Strategy,PacifiCan,ORG,,,
1,333,CAN,2022,Canada's National Quantum Strategy,REGI,ORG,,,
1,334,CAN,2022,Canada's National Quantum Strategy,FedDev Ontario,ORG,,,
1,335,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,335,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,335,CAN,2022,Canada's National Quantum Strategy,Global Innovation Clusters,ORG,,,
1,336,CAN,2022,Canada's National Quantum Strategy,ISC,ORG,,,
1,336,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,337,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
1,337,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
1,338,CAN,2022,Canada's National Quantum Strategy,Canadian Armed Forces Quantum Science and Technology,ORG,,,
1,338,CAN,2022,Canada's National Quantum Strategy,S&T,ORG,,,
1,338,CAN,2022,Canada's National Quantum Strategy,Department of National Defence,ORG,,,
