Topic,Count,Name,Representation,Representative_Docs
47,16,47_standards_technical_standardisation_bodies,"['standards', 'technical', 'standardisation', 'bodies', 'relating', 'relevant', 'global', 'priority', 'engagement', 'bod']","['engagement in priority areas of quantum technical standards development. Relevant', '• Work through relevant global bodies to ensure that global quantum technical standards', 'Work through relevant global bodies to ensure that global quantum technical standards']"
48,15,48_space_nstc_intelligence_national,"['space', 'nstc', 'intelligence', 'national', 'director', 'odni', 'subcommittees', 'nasa', 'annex', 'state']","['ODNI Office of the Director of National Intelligence', 'other NSTC subcommittees, Federal agencies, and the defense and intelligence communities, ensure', 'Foundation (NSF), National Security Agency (NSA), Office of the Director of National Intelligence (ODNI),']"
49,15,49_royal_engineering_academy_institution,"['royal', 'engineering', 'academy', 'institution', 'strathclyde', 'institute', 'bodies', 'faraday', 'crick', 'professional']","['• Commission the Royal Academy of Engineering to undertake an independent', 'Royal Academy of Engineering, the Institute of Engineering and Technology and', 'Institution of Engineering and Technology, techUK, the Royal Academy of']"
50,15,50_ip_intellectual_property_protect,"['ip', 'intellectual', 'property', 'protect', 'hostile', 'how', 'actors', 'expert', 'against', 'including']","['computing hardware and software, including protecting and mobilizing intellectual property (IP).', 'and how protect their work and intellectual property, including against cyber threats.', 'others and how protect their work and intellectual property, including against cyber']"
51,14,51_ups_start_promotion_spin,"['ups', 'start', 'promotion', 'spin', 'enterprises', 'sized', 'medium', 'locational', 'marked', 'concerned']","['companies, start-ups and small and medium-sized parties concerned and specific knowledge about ap-', 'spin-off companies and start-ups, and participating', 'means: Start-ups and small and medium-sized enterprises']"
52,14,52_fraunhofer_gesellschaft_ibm_beyond,"['fraunhofer', 'gesellschaft', 'ibm', 'beyond', 'cooperation', 'forschung', 'closed', 'discovering', 'ang', 'ewandten']","['Fraunhofer-Gesellschaft enables a holistic approach to help shape a scientific & technological paradigm', 'organisation for application-oriented research. Focus- The Fraunhofer-Gesellschaft has been working inten-', 'and society. The Fraunhofer-Gesellschaft is meeting Complementary to this the Fraunhofer-Gesellschaft']"
53,14,53_collaborative_innovative_programme_firms,"['collaborative', 'innovative', 'programme', 'firms', 'environment', 'matchmaking', 'recognize', 'reputation', 'them', 'smooth']","['environment and offer tools to help them recognize foreign direct investments from and R&D partnerships', 'rounds at high-growth, innovative firms. The programme will focus on R&D intensive', 'collaborative R&D and technology matchmaking industries and businesses to help them make the']"
54,14,54_council_agree_secretariat_leads,"['council', 'agree', 'secretariat', 'leads', 'government', 'external', 'advice', 'action', 'engagement', 'identify']","['advice to government. The Council will draw on implementation of external advice and identify needs,', '• Work with relevant leads across government to agree sector or tech specific action', 'Work with relevant leads across government to agree sector or tech specific action plans to']"
55,13,55_missions_pnt_launch_70,"['missions', 'pnt', 'launch', '70', 'two', 'include', 'focussed', 'resilient', 'accelerating', 'capabilities']","['As outlined in the previous section, missions for quantum computing and PNT will include', '• Launch missions for Quantum Computing and PNT that will include enabling activities to', 'Launch missions for Quantum Computing and PNT that will include enabling activities to']"
56,12,56_communication_communications_transmission_fundamental,"['communication', 'communications', 'transmission', 'fundamental', 'networks', 'term', 'network', 'algorithms', 'impli', 'https']","['traditional communication and IT infrastructures. five years. It describes the fundamental, long-term', 'extend the communication-transmission paths, as The cross-sectional field of enabling technologies is', 'technologies (for example via cloud-based Network, https://qisenet.uchicago.edu/, also known as “TRIPLETS.” This']"
57,12,57_nqs_canada_under_number,"['nqs', 'canada', 'under', 'number', 'government', 'addition', 'mechanisms', 'will', 'portal', 'legality']","['In addition to the Government of Canada programs in the NQS, there are a number of additional federal', 'Under the NQS, the Government of Canada will seek collaboration and Canada’s security interests, with a', 'In addition to the funding mechanisms in the NQS, a number of other Government of Canada research funding']"
58,12,58_public_delivery_ways_applications,"['public', 'delivery', 'ways', 'applications', 'sector', 'useful', 'other', 'service', 'good', 'application']","['ways to help enable technology development for public service delivery, and ways to', 'offer an advantage to the delivery of public services and other public good applications,', 'an advantage to the delivery of public services and other public good applications, ways to']"
59,12,59_measures_parameters_part_ment,"['measures', 'parameters', 'part', 'ment', 'measurement', 'accordingly', 'bases', 'analyses', 'crises', 'egies']","['referencing the measurement methods to natural firm performance parameters and the comparability', 'researchers can establish their first small working ment bases its measures on the results of broad-based', 'represent an initial rough estimate that accounts for adjust the portfolio of measures accordingly.']"
60,12,60_tum_automotive_advi_folgen,"['tum', 'automotive', 'advi', 'folgen', 'fixed', 'implements', 'bekämpfen', 'pure', 'ternal', 'ticipate']","['ternal expertise is sought, partly through fixed advi- tum communication can solve this problem through', 'tum technology ecosystem through the following companies', 'tum computing based on isotopically pure semicon- Corona-Folgen bekämpfen, Wohlstand sichern, Zukun-']"
61,10,61_leibniz_institutes_association_institute,"['leibniz', 'institutes', 'association', 'institute', 'institutions', 'diag', 'fritz', 'ifw', 'rial', 'master']","['Technological Sovereignty, the Leibniz institutes have research institutions, authorities and services of the', 'In the value chain, Leibniz Association institutions tive Microelectronics (IHP), the Leibniz Institute for', 'Leibniz e. V. [Leibniz Association] rials Research (IFW), the Leibniz Institute for Innova-']"
62,10,62_scqis_ostp_shall_office,"['scqis', 'ostp', 'shall', 'office', 'agencies', 'four', 'policy', 'arranged', 'finds', 'omb']","['1. Agencies participating in the SCQIS shall provide written plans for addressing the policy goals', 'outlined here by the first quarter of 2019, or a later date as arranged with OSTP and the SCQIS.', '2.Consistent with law, agencies shall convene stakeholders in consultation with OSTP and the SCQIS']"
