topic_id,word,score
18,private,0.02253527763891515
18,total,0.02246812872335587
18,savers,0.019971332925724478
19,data,0.0647106209865925
19,cryptography,0.05856280729503465
19,encryption,0.045933136878123434
19,sensitive,0.042094446671641916
19,crypto,0.03336409362878039
19,eavesdropping,0.02855227440085361
19,information,0.028510610535777126
19,secure,0.02103363136285921
19,is,0.020814864590366338
19,thunderbird,0.02041438297356478
20,materials,0.09192685905719829
20,semiconductor,0.07305586664543762
20,fabrication,0.056933200758335495
20,semiconductors,0.05534269004933835
20,compound,0.04063249861499183
20,solid,0.03795546717222366
20,such,0.03225040393332384
20,material,0.027671345024669176
20,chemical,0.026970759730040414
20,cluster,0.026970759730040414
21,million,0.07739647135669515
21,hubs,0.06927062203524179
21,over,0.05741956146066295
21,alliance,0.0511486959157454
