Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
81,1,CAN,2022,Canada's National Quantum Strategy,Canadian Institute for Advanced Research  CIFAR,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,NSERC-UK Research and Innovation,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,UKRI,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,Quantum Technologies Competition,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,U.S. National Science Foundation,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,European Commission,ORG,,,
81,1,CAN,2022,Canada's National Quantum Strategy,Horizon Europe,ORG,,,
82,1,CAN,2022,Canada's National Quantum Strategy,National Security Guidelines for Research Partnerships,ORG,,,
82,1,CAN,2022,Canada's National Quantum Strategy,National Security Review of Investments,ORG,,,
85,1,CAN,2022,Canada's National Quantum Strategy,GAC’s Trade Commissioner Service,ORG,,,
85,1,CAN,2022,Canada's National Quantum Strategy,TCS,ORG,,,
85,1,CAN,2022,Canada's National Quantum Strategy,Invest,ORG,,,
87,1,CAN,2022,Canada's National Quantum Strategy,RESEARCH PILLAR,ORG,,,
94,1,CAN,2022,Canada's National Quantum Strategy,Enhances Canada,ORG,,,
94,1,CAN,2022,Canada's National Quantum Strategy,Canada Excellence Research Chairs Program,ORG,,,
94,1,CAN,2022,Canada's National Quantum Strategy,CERC,ORG,,,
95,1,CAN,2022,Canada's National Quantum Strategy,New Frontiers in Research Fund,ORG,,,
95,1,CAN,2022,Canada's National Quantum Strategy,NFRF,ORG,,,
98,1,CAN,2022,Canada's National Quantum Strategy,NSERC-National Science Foundation,ORG,,,
99,1,CAN,2022,Canada's National Quantum Strategy,NSF,ORG,,,
100,1,CAN,2022,Canada's National Quantum Strategy,CIIP,ORG,,,
100,1,CAN,2022,Canada's National Quantum Strategy,Innovation for Defence Excellence and Security,ORG,,,
100,1,CAN,2022,Canada's National Quantum Strategy,Defence Research and Development Canada,ORG,,,
100,1,CAN,2022,Canada's National Quantum Strategy,DRDC,ORG,,,
102,1,CAN,2022,Canada's National Quantum Strategy,Innovation Fund – Canada Foundation for Innovation,ORG,,,
103,1,CAN,2022,Canada's National Quantum Strategy,John R. Evans Leaders Fund,ORG,,,
106,1,CAN,2022,Canada's National Quantum Strategy,TALENT PILLAR,ORG,,,
110,1,CAN,2022,Canada's National Quantum Strategy,Canadian Experience Class,ORG,,,
120,1,CAN,2022,Canada's National Quantum Strategy,PTs,ORG,,,
121,1,CAN,2022,Canada's National Quantum Strategy,Global Talent Stream – Employment and Social Development Canada,ORG,,,
121,1,CAN,2022,Canada's National Quantum Strategy,ESDC,ORG,,,
125,1,CAN,2022,Canada's National Quantum Strategy,Public Service Commission of Canada,ORG,,,
134,1,CAN,2022,Canada's National Quantum Strategy,Prairies Economic Development Canada,ORG,,,
135,1,CAN,2022,Canada's National Quantum Strategy,Pacific Economic Development Canada,ORG,,,
137,1,CAN,2022,Canada's National Quantum Strategy,ITB,ORG,,,
137,1,CAN,2022,Canada's National Quantum Strategy,ITB Policy,ORG,,,
